# エモーション配置調整定義
# 個別の stand 定義側での指定が無い場合に参照されます
#立ち絵名,ポーズ差分,エモーション名,emoX,emoY,emoRev
#アンナ,,♪,70,550,0
英玲奈,,＃,136,246,0
英玲奈,,！,160,246,0
英玲奈,,？,160,246,0
英玲奈,,♪,190,226,0
英玲奈,,・・・,190,246,0
英玲奈,,／／／,190,246,0
英玲奈,,電球,190,246,0
英玲奈,,失敗,190,246,0
英玲奈,,ハート,190,246,0
英玲奈,,汗,136,246,0
英玲奈,,落ち込み,136,246,0
英玲奈,,にぎやか,26,296,0
英玲奈,,どきどき,26,218,0
英玲奈,,きらきら,26,218,0
英玲奈,,気づき左,-121,246,0
英玲奈,,気づき右,134,246,0
英玲奈,,慌てる,26,218,0
英玲奈,,怒り大,160,246,0
英玲奈,,星,26,218,0
英玲奈,,え゛,264,218,0
オルガ,,＃,136,246,0
オルガ,,！,160,246,0
オルガ,,？,160,246,0
オルガ,,♪,190,226,0
オルガ,,・・・,190,246,0
オルガ,,／／／,190,246,0
オルガ,,電球,190,246,0
オルガ,,失敗,190,246,0
オルガ,,ハート,190,246,0
オルガ,,汗,136,246,0
オルガ,,落ち込み,136,246,0
オルガ,,にぎやか,26,296,0
オルガ,,どきどき,26,218,0
オルガ,,きらきら,26,218,0
オルガ,,気づき左,-121,246,0
オルガ,,気づき右,134,246,0
オルガ,,慌てる,26,218,0
オルガ,,怒り大,160,246,0
オルガ,,星,26,218,0
オルガ,,え゛,264,218,0
フィー,,＃,136,246,0
フィー,,！,160,246,0
フィー,,？,160,246,0
フィー,,♪,190,226,0
フィー,,・・・,190,246,0
フィー,,／／／,190,246,0
フィー,,電球,190,246,0
フィー,,失敗,190,246,0
フィー,,ハート,190,246,0
フィー,,汗,136,246,0
フィー,,落ち込み,136,246,0
フィー,,にぎやか,26,296,0
フィー,,どきどき,26,218,0
フィー,,きらきら,26,218,0
フィー,,気づき左,-121,246,0
フィー,,気づき右,134,246,0
フィー,,慌てる,26,218,0
フィー,,怒り大,160,246,0
フィー,,星,26,218,0
フィー,,え゛,264,218,0
リディア,,＃,136,246,0
リディア,,！,160,246,0
リディア,,？,160,246,0
リディア,,♪,190,226,0
リディア,,・・・,190,246,0
リディア,,／／／,190,246,0
リディア,,電球,190,246,0
リディア,,失敗,190,246,0
リディア,,ハート,190,246,0
リディア,,汗,136,246,0
リディア,,落ち込み,136,246,0
リディア,,にぎやか,26,296,0
リディア,,どきどき,26,218,0
リディア,,きらきら,26,218,0
リディア,,気づき左,-121,246,0
リディア,,気づき右,134,246,0
リディア,,慌てる,26,218,0
リディア,,怒り大,160,246,0
リディア,,星,26,218,0
リディア,,え゛,264,218,0
カシュニア,,＃,136,168,0
カシュニア,,！,160,168,0
カシュニア,,？,160,168,0
カシュニア,,♪,190,168,0
カシュニア,,・・・,190,168,0
カシュニア,,／／／,190,168,0
カシュニア,,電球,190,168,0
カシュニア,,失敗,190,168,0
カシュニア,,ハート,190,168,0
カシュニア,,汗,136,168,0
カシュニア,,落ち込み,136,168,0
カシュニア,,にぎやか,26,218,0
カシュニア,,どきどき,26,140,0
カシュニア,,きらきら,26,140,0
カシュニア,,気づき左,-121,168,0
カシュニア,,気づき右,134,168,0
カシュニア,,慌てる,26,140,0
カシュニア,,怒り大,160,168,0
カシュニア,,星,26,140,0
カシュニア,,え゛,264,140,0
ナオミン,,＃,136,246,0
ナオミン,,！,160,246,0
ナオミン,,？,160,246,0
ナオミン,,♪,190,226,0
ナオミン,,・・・,190,246,0
ナオミン,,／／／,190,246,0
ナオミン,,電球,190,246,0
ナオミン,,失敗,190,246,0
ナオミン,,ハート,190,246,0
ナオミン,,汗,136,246,0
ナオミン,,落ち込み,136,246,0
ナオミン,,にぎやか,26,296,0
ナオミン,,どきどき,26,218,0
ナオミン,,きらきら,26,218,0
ナオミン,,気づき左,-121,246,0
ナオミン,,気づき右,134,246,0
ナオミン,,慌てる,26,218,0
ナオミン,,怒り大,160,246,0
ナオミン,,星,26,218,0
ナオミン,,え゛,264,218,0
カトレーヌ,,＃,136,246,0
カトレーヌ,,！,160,246,0
