#画像名 	指定名	差し替え名	条件　の列挙
#由夏.stand	制服	裸	sf.裸パッチ==1
かぐや.stand	制服	裸	sf.裸パッチ==1
みぞれ.stand	制服	裸	sf.裸パッチ==1
みぞれ.stand	クエスト	裸	sf.裸パッチ==1
みぞれ大人.stand	クエスト	裸	sf.裸パッチ==1
#アサミ.stand	制服	裸	sf.裸パッチ==1
エレン.stand	先生服	裸	sf.裸パッチ==1
オルガ.stand	制服	裸	sf.裸パッチ==1
オルガ.stand	クエスト	裸	sf.裸パッチ==1
カシュニア.stand	制服	裸	sf.裸パッチ==1
カシュニア.stand	クエスト	裸	sf.裸パッチ==1
カトレーヌ.stand	制服	裸	sf.裸パッチ==1
カトレーヌ.stand	クエスト	裸	sf.裸パッチ==1
サラ.stand	服	裸	sf.裸パッチ==1
#システィーネ.stand	制服	裸	sf.裸パッチ==1
#ジルダ.stand	制服	裸	sf.裸パッチ==1
#セリカ.stand	制服	裸	sf.裸パッチ==1
#ティアナ.stand	制服	裸	sf.裸パッチ==1
ナオミン.stand	制服	裸	sf.裸パッチ==1
ナオミン.stand	クエスト	裸	sf.裸パッチ==1
ナオミン.stand	クエスト２	裸	sf.裸パッチ==1
フィー.stand	制服	裸	sf.裸パッチ==1
フィー.stand	クエスト	裸	sf.裸パッチ==1
フィー.stand	クエスト銃あり	裸	sf.裸パッチ==1
#マリィ.stand	制服	裸	sf.裸パッチ==1
ミャウ.stand	制服	裸	sf.裸パッチ==1
ミャウ.stand	クエスト	裸	sf.裸パッチ==1
ミャウ.stand	メイド	裸	sf.裸パッチ==1
#ミルファ.stand	制服	裸	sf.裸パッチ==1
リディア.stand	制服	裸	sf.裸パッチ==1
リディア.stand	クエスト	裸	sf.裸パッチ==1
#ルミア.stand	制服	裸	sf.裸パッチ==1
英玲奈.stand	制服	裸	sf.裸パッチ==1
英玲奈.stand	クエスト	裸	sf.裸パッチ==1
英玲奈.stand	水着	裸	sf.裸パッチ==1
